Shape_Length,Shape_Area,Point_Count,X_Coord,Y_Coord
2000.000000000000000,250000.000000000000000,4,1208982.148600000888109,469299.256699999794364
2000.000000000000000,250000.000000000000000,2,1209482.148600000888109,469299.256699999794364
2000.000000000000000,250000.000000000000000,7,1207982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,26,1208482.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,50,1208982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,30,1209482.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,7,1209982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,1,1216982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,6,1207482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,17,1207982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,66,1208482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,44,1208982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,41,1209482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,150,1209982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,11,1210482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,24,1210982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,2,1211482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,11,1211982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,6,1212482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,5,1212982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,8,1213482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,14,1213982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,8,1214482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,26,1214982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,16,1215482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,23,1215982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,66,1216482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,18,1216982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,10,1207482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,23,1207982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,33,1208482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,26,1208982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,24,1209482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,37,1209982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,53,1210482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,105,1210982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,661,1211482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,54,1211982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,36,1212482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,17,1212982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,18,1213482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,26,1213982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,12,1214482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,16,1216482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,1,1216982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,3,1205482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,3,1206982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,18,1207482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,34,1207982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,30,1208482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,14,1208982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,21,1209482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,18,1209982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,2,1210482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,15,1210982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,37,1211482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,37,1211982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,18,1212482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,33,1212982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,11,1213482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,13,1213982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,10,1214482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,4,1214982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,7,1215482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,12,1215982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,12,1216482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,14,1216982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,2,1203982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,1,1204482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,1,1204982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,7,1206482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,6,1206982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,6,1207482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,19,1207982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,24,1208482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,22,1208982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,18,1209482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,14,1209982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,27,1210982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,28,1211482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,20,1211982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,27,1212482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,39,1212982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,18,1213482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,32,1213982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,18,1214482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,18,1214982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,61,1215482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,13,1215982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,14,1216482.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,6,1216982.148600000888109,471799.256699999794364
2000.000000000000000,250000.000000000000000,6,1203982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,10,1204482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,7,1204982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,2,1205482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,1,1205982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,11,1206482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,14,1206982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,20,1207482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,8,1207982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,18,1208482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,15,1208982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,18,1209482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,29,1209982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,42,1210482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,50,1210982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,14,1211482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,66,1211982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,18,1212482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,27,1212982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,31,1213482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,61,1213982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,30,1214482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,13,1214982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,30,1215482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,22,1215982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,20,1216482.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,4,1216982.148600000888109,472299.256699999794364
2000.000000000000000,250000.000000000000000,1,1203482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,1,1203982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,11,1204482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,16,1204982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,18,1205482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,9,1205982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,14,1206482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,47,1206982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,52,1207482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,17,1207982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,11,1208482.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,11,1208982.148600000888109,472799.256699999794364
2000.000000000000000,250000.000000000000000,31,1209482.148600000888109,472799.256699999794364
