OID_,COUNT,SUM_Add1,SHAPE_Length,SHAPE_Area,X_Coord,Y_Coord
157,15.000000000000000,15.000000000000000,2000.000000000000000,250000.000000000000000,1205482.148600000888109,471299.256699999794364
129,74.000000000000000,74.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,470799.256699999794364
227,25.000000000000000,25.000000000000000,2000.000000000000000,250000.000000000000000,1204482.148600000888109,472299.256699999794364
204,50.000000000000000,50.000000000000000,2000.000000000000000,250000.000000000000000,1210982.148600000888109,471799.256699999794364
178,52.000000000000000,52.000000000000000,2000.000000000000000,250000.000000000000000,1215982.148600000888109,471299.256699999794364
136,72.000000000000000,72.000000000000000,2000.000000000000000,250000.000000000000000,1212982.148600000888109,470799.256699999794364
200,46.000000000000000,46.000000000000000,2000.000000000000000,250000.000000000000000,1208982.148600000888109,471799.256699999794364
207,55.000000000000000,55.000000000000000,2000.000000000000000,250000.000000000000000,1212482.148600000888109,471799.256699999794364
231,29.000000000000000,29.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,472299.256699999794364
169,57.000000000000000,57.000000000000000,2000.000000000000000,250000.000000000000000,1211482.148600000888109,471299.256699999794364
202,55.000000000000000,55.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,471799.256699999794364
123,1.000000000000000,1.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,470799.256699999794364
160,6.000000000000000,6.000000000000000,2000.000000000000000,250000.000000000000000,1206982.148600000888109,471299.256699999794364
190,6.000000000000000,6.000000000000000,2000.000000000000000,250000.000000000000000,1203982.148600000888109,471799.256699999794364
208,52.000000000000000,52.000000000000000,2000.000000000000000,250000.000000000000000,1212982.148600000888109,471799.256699999794364
158,2.000000000000000,2.000000000000000,2000.000000000000000,250000.000000000000000,1205982.148600000888109,471299.256699999794364
173,57.000000000000000,57.000000000000000,2000.000000000000000,250000.000000000000000,1213482.148600000888109,471299.256699999794364
233,43.000000000000000,43.000000000000000,2000.000000000000000,250000.000000000000000,1207482.148600000888109,472299.256699999794364
168,27.000000000000000,27.000000000000000,2000.000000000000000,250000.000000000000000,1210982.148600000888109,471299.256699999794364
210,91.000000000000000,91.000000000000000,2000.000000000000000,250000.000000000000000,1213982.148600000888109,471799.256699999794364
130,74.000000000000000,74.000000000000000,2000.000000000000000,250000.000000000000000,1209982.148600000888109,470799.256699999794364
205,63.000000000000000,63.000000000000000,2000.000000000000000,250000.000000000000000,1211482.148600000888109,471799.256699999794364
212,48.000000000000000,48.000000000000000,2000.000000000000000,250000.000000000000000,1214982.148600000888109,471799.256699999794364
191,13.000000000000000,13.000000000000000,2000.000000000000000,250000.000000000000000,1204482.148600000888109,471799.256699999794364
121,5.000000000000000,5.000000000000000,2000.000000000000000,250000.000000000000000,1205482.148600000888109,470799.256699999794364
159,2.000000000000000,2.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,471299.256699999794364
203,35.000000000000000,35.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,471799.256699999794364
139,17.000000000000000,17.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,470799.256699999794364
195,18.000000000000000,18.000000000000000,2000.000000000000000,250000.000000000000000,1206482.148600000888109,471799.256699999794364
127,61.000000000000000,61.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,470799.256699999794364
201,62.000000000000000,62.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,471799.256699999794364
193,10.000000000000000,10.000000000000000,2000.000000000000000,250000.000000000000000,1205482.148600000888109,471799.256699999794364
167,6.000000000000000,6.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,471299.256699999794364
179,41.000000000000000,41.000000000000000,2000.000000000000000,250000.000000000000000,1216482.148600000888109,471299.256699999794364
122,5.000000000000000,5.000000000000000,2000.000000000000000,250000.000000000000000,1205982.148600000888109,470799.256699999794364
229,19.000000000000000,19.000000000000000,2000.000000000000000,250000.000000000000000,1205482.148600000888109,472299.256699999794364
132,60.000000000000000,60.000000000000000,2000.000000000000000,250000.000000000000000,1210982.148600000888109,470799.256699999794364
215,34.000000000000000,34.000000000000000,2000.000000000000000,250000.000000000000000,1216482.148600000888109,471799.256699999794364
206,110.000000000000000,110.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,471799.256699999794364
230,19.000000000000000,19.000000000000000,2000.000000000000000,250000.000000000000000,1205982.148600000888109,472299.256699999794364
163,48.000000000000000,48.000000000000000,2000.000000000000000,250000.000000000000000,1208482.148600000888109,471299.256699999794364
165,70.000000000000000,70.000000000000000,2000.000000000000000,250000.000000000000000,1209482.148600000888109,471299.256699999794364
171,56.000000000000000,56.000000000000000,2000.000000000000000,250000.000000000000000,1212482.148600000888109,471299.256699999794364
211,48.000000000000000,48.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,471799.256699999794364
216,20.000000000000000,20.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,471799.256699999794364
144,19.000000000000000,19.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,470799.256699999794364
175,30.000000000000000,30.000000000000000,2000.000000000000000,250000.000000000000000,1214482.148600000888109,471299.256699999794364
172,79.000000000000000,79.000000000000000,2000.000000000000000,250000.000000000000000,1212982.148600000888109,471299.256699999794364
134,52.000000000000000,52.000000000000000,2000.000000000000000,250000.000000000000000,1211982.148600000888109,470799.256699999794364
228,44.000000000000000,44.000000000000000,2000.000000000000000,250000.000000000000000,1204982.148600000888109,472299.256699999794364
284,41.000000000000000,41.000000000000000,2000.000000000000000,250000.000000000000000,1214982.148600000888109,472799.256699999794364
311,23.000000000000000,23.000000000000000,2000.000000000000000,250000.000000000000000,1210482.148600000888109,473299.256699999794364
240,52.000000000000000,52.000000000000000,2000.000000000000000,250000.000000000000000,1210982.148600000888109,472299.256699999794364
352,63.000000000000000,63.000000000000000,2000.000000000000000,250000.000000000000000,1212982.148600000888109,473799.256699999794364
252,20.000000000000000,20.000000000000000,2000.000000000000000,250000.000000000000000,1216982.148600000888109,472299.256699999794364
244,50.000000000000000,50.000000000000000,2000.000000000000000,250000.000000000000000,1212982.148600000888109,472299.256699999794364
317,72.000000000000000,72.000000000000000,2000.000000000000000,250000.000000000000000,1213482.148600000888109,473299.256699999794364
