Shape_Length,Shape_Area,Point_Count
2000.000000000000000,250000.000000000000000,4
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,50
2000.000000000000000,250000.000000000000000,30
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,6
2000.000000000000000,250000.000000000000000,17
2000.000000000000000,250000.000000000000000,66
2000.000000000000000,250000.000000000000000,44
2000.000000000000000,250000.000000000000000,41
2000.000000000000000,250000.000000000000000,150
2000.000000000000000,250000.000000000000000,11
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,11
2000.000000000000000,250000.000000000000000,6
2000.000000000000000,250000.000000000000000,5
2000.000000000000000,250000.000000000000000,8
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,8
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,16
2000.000000000000000,250000.000000000000000,23
2000.000000000000000,250000.000000000000000,66
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,10
2000.000000000000000,250000.000000000000000,23
2000.000000000000000,250000.000000000000000,33
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,37
2000.000000000000000,250000.000000000000000,53
2000.000000000000000,250000.000000000000000,105
2000.000000000000000,250000.000000000000000,661
2000.000000000000000,250000.000000000000000,54
2000.000000000000000,250000.000000000000000,36
2000.000000000000000,250000.000000000000000,17
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,16
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,34
2000.000000000000000,250000.000000000000000,30
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,21
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,15
2000.000000000000000,250000.000000000000000,37
2000.000000000000000,250000.000000000000000,37
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,33
2000.000000000000000,250000.000000000000000,11
2000.000000000000000,250000.000000000000000,13
2000.000000000000000,250000.000000000000000,10
2000.000000000000000,250000.000000000000000,4
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,6
2000.000000000000000,250000.000000000000000,6
2000.000000000000000,250000.000000000000000,19
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,22
2000.000000000000000,250000.000000000000000,18
