Shape_Length,Shape_Area,Point_Count
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,29
2000.000000000000000,250000.000000000000000,47
2000.000000000000000,250000.000000000000000,28
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,4
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,81
2000.000000000000000,250000.000000000000000,42
2000.000000000000000,250000.000000000000000,45
2000.000000000000000,250000.000000000000000,137
2000.000000000000000,250000.000000000000000,25
2000.000000000000000,250000.000000000000000,23
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,13
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,27
2000.000000000000000,250000.000000000000000,10
2000.000000000000000,250000.000000000000000,27
2000.000000000000000,250000.000000000000000,28
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,67
2000.000000000000000,250000.000000000000000,13
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,5
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,40
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,21
2000.000000000000000,250000.000000000000000,43
2000.000000000000000,250000.000000000000000,39
2000.000000000000000,250000.000000000000000,94
2000.000000000000000,250000.000000000000000,700
2000.000000000000000,250000.000000000000000,50
2000.000000000000000,250000.000000000000000,41
2000.000000000000000,250000.000000000000000,27
2000.000000000000000,250000.000000000000000,29
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,25
2000.000000000000000,250000.000000000000000,7
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,11
2000.000000000000000,250000.000000000000000,22
2000.000000000000000,250000.000000000000000,33
2000.000000000000000,250000.000000000000000,19
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,35
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,35
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,45
2000.000000000000000,250000.000000000000000,19
2000.000000000000000,250000.000000000000000,34
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,27
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,10
2000.000000000000000,250000.000000000000000,16
2000.000000000000000,250000.000000000000000,8
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,2
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,4
2000.000000000000000,250000.000000000000000,12
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,22
2000.000000000000000,250000.000000000000000,17
2000.000000000000000,250000.000000000000000,14
2000.000000000000000,250000.000000000000000,25
2000.000000000000000,250000.000000000000000,4
2000.000000000000000,250000.000000000000000,40
2000.000000000000000,250000.000000000000000,19
2000.000000000000000,250000.000000000000000,26
2000.000000000000000,250000.000000000000000,25
2000.000000000000000,250000.000000000000000,22
2000.000000000000000,250000.000000000000000,17
2000.000000000000000,250000.000000000000000,35
2000.000000000000000,250000.000000000000000,16
2000.000000000000000,250000.000000000000000,15
2000.000000000000000,250000.000000000000000,63
2000.000000000000000,250000.000000000000000,29
2000.000000000000000,250000.000000000000000,15
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,1
2000.000000000000000,250000.000000000000000,6
2000.000000000000000,250000.000000000000000,5
2000.000000000000000,250000.000000000000000,9
2000.000000000000000,250000.000000000000000,3
2000.000000000000000,250000.000000000000000,8
2000.000000000000000,250000.000000000000000,11
2000.000000000000000,250000.000000000000000,23
2000.000000000000000,250000.000000000000000,19
2000.000000000000000,250000.000000000000000,13
2000.000000000000000,250000.000000000000000,24
2000.000000000000000,250000.000000000000000,18
2000.000000000000000,250000.000000000000000,38
2000.000000000000000,250000.000000000000000,56
