Shape_Length,Shape_Area,Point_Count,X_Coord,Y_Coord
2000.000000000000000,250000.000000000000000,3,1208982.148600000888109,469299.256699999794364
2000.000000000000000,250000.000000000000000,2,1209482.148600000888109,469299.256699999794364
2000.000000000000000,250000.000000000000000,3,1207982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,29,1208482.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,47,1208982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,28,1209482.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,2,1209982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,1,1210482.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,2,1210982.148600000888109,469799.256699999794364
2000.000000000000000,250000.000000000000000,4,1207482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,9,1207982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,81,1208482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,42,1208982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,45,1209482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,137,1209982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,25,1210482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,23,1210982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,7,1211482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,13,1211982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,9,1212482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,12,1212982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,14,1213482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,27,1213982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,10,1214482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,27,1214982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,28,1215482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,18,1215982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,67,1216482.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,13,1216982.148600000888109,470299.256699999794364
2000.000000000000000,250000.000000000000000,1,1205482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,1,1205982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,5,1207482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,18,1207982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,40,1208482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,26,1208982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,21,1209482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,43,1209982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,39,1210482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,94,1210982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,700,1211482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,50,1211982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,41,1212482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,27,1212982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,29,1213482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,24,1213982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,18,1214482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,1,1215482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,25,1216482.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,7,1216982.148600000888109,470799.256699999794364
2000.000000000000000,250000.000000000000000,1,1205482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,3,1206982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,11,1207482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,22,1207982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,33,1208482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,19,1208982.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,14,1209482.148600000888109,471299.256699999794364
2000.000000000000000,250000.000000000000000,35,1209982.148600000888109,471299.256699999794364
